inc_id,accident_date,file_date,pol_id,add_id
86b86ee7,2022-01-12 15:54:54.577255,2022-01-14 15:54:54.577255,42712506,5caa70a5
b7348184,2022-01-12 15:54:54.578266,2022-01-12 15:54:54.578266,cfc830d2,06cba030
73eaa568,2022-01-12 15:54:54.578266,2022-01-13 15:54:54.578266,4229d554,4ab211f5
533b3975,2022-01-12 15:54:54.578266,2022-01-12 15:54:54.578266,ed5a3535,8bae224d
8d70e244,2022-01-12 15:54:54.578266,2022-01-12 15:54:54.578266,851122d6,5c7fe700
84973c7b,2022-01-12 15:54:54.579255,2022-01-12 15:54:54.579255,867a1dc5,e226658d
6e077d22,2022-01-12 15:54:54.579255,2022-01-12 15:54:54.579255,1cce6e87,335b3dcb
e6c67de6,2022-01-12 15:54:54.579255,2022-01-12 15:54:54.579255,f99ca09e,292ed4ce
c50240cc,2022-01-12 15:54:54.579255,2022-01-14 15:54:54.579255,5b72ee6a,077f21e2
f106b14a,2022-01-12 15:54:54.580255,2022-01-13 15:54:54.580255,e894d045,b8006f6c
0d4f58d7,2022-01-12 15:54:54.580255,2022-01-12 15:54:54.580255,30c13436,a2d4e6d6
97fae2ad,2022-01-12 15:54:54.580255,2022-01-12 15:54:54.580255,2bffee90,ba90f42e
900e283a,2022-01-12 15:54:54.580255,2022-01-13 15:54:54.580255,99e194b9,4aaf7d39
c937a05e,2022-01-12 15:54:54.580255,2022-01-12 15:54:54.580255,f2a86342,fa9074ed
4657931b,2022-01-12 15:54:54.581220,2022-01-13 15:54:54.581220,44e57631,8b82be02
f03810e5,2022-01-12 15:54:54.581220,2022-01-13 15:54:54.581220,021bd349,e313f22c
03d12f0a,2022-01-12 15:54:54.581220,2022-01-12 15:54:54.581220,c9a9a6e3,14aa91e0
707b2a8a,2022-01-12 15:54:54.581220,2022-01-12 15:54:54.581220,366414f6,77fd214d
df1a1705,2022-01-12 15:54:54.581220,2022-01-14 15:54:54.581220,0d63ff19,126e9d7c
9dea99a9,2022-01-12 15:54:54.581220,2022-01-13 15:54:54.581220,24e2c42d,56f62439
51240c6e,2022-01-12 15:54:54.582262,2022-01-13 15:54:54.582262,e55375b2,b490f250
c0b6e73e,2022-01-12 15:54:54.582262,2022-01-12 15:54:54.582262,b98202fa,f2c9771f
b2c2e3de,2022-01-12 15:54:54.582262,2022-01-13 15:54:54.582262,06acd25a,fcf30aa5
1f1b4891,2022-01-12 15:54:54.582262,2022-01-12 15:54:54.582262,230b53c7,94af1ae7
99d6dc0f,2022-01-12 15:54:54.583255,2022-01-13 15:54:54.583255,fa3d1f3e,b3a4ea6d
0a02dd55,2022-01-12 15:54:54.583255,2022-01-12 15:54:54.583255,bc04bde8,1f4eb85d
9d8a1b32,2022-01-12 15:54:54.583799,2022-01-14 15:54:54.583799,212c80c7,3c343892
a20239b0,2022-01-12 15:54:54.583799,2022-01-13 15:54:54.583799,24d0ad50,102a9de6
83131ce4,2022-01-12 15:54:54.583799,2022-01-14 15:54:54.583799,91a4b4ed,f701d71b
6f697d66,2022-01-12 15:54:54.583799,2022-01-13 15:54:54.583799,c5929f21,ac681b13
99300c05,2022-01-12 15:54:54.584841,2022-01-12 15:54:54.584841,f7460efd,f130f7b6
03e484c3,2022-01-12 15:54:54.600843,2022-01-12 15:54:54.600843,d3eddcb1,7c5276c8
75fea70a,2022-01-12 15:54:54.600843,2022-01-13 15:54:54.600843,af92240f,af00bcad
74e865bd,2022-01-12 15:54:54.600843,2022-01-13 15:54:54.600843,c6988f8c,8eaed4f3
4e622d98,2022-01-12 15:54:54.601845,2022-01-13 15:54:54.601845,0086e6c5,b5b60f58
033563e8,2022-01-12 15:54:54.601845,2022-01-12 15:54:54.601845,b481de26,8d177e95
cbabb758,2022-01-12 15:54:54.602847,2022-01-12 15:54:54.602847,ea5b26d5,f0992f50
a59ba2a6,2022-01-12 15:54:54.602847,2022-01-13 15:54:54.602847,c2dce0f4,ae3fd7ee
c49aaf15,2022-01-12 15:54:54.602847,2022-01-14 15:54:54.602847,5cab6385,9e32cb5e
47671761,2022-01-12 15:54:54.602847,2022-01-14 15:54:54.602847,a05b94c6,b41285c5
08c13900,2022-01-12 15:54:54.603807,2022-01-13 15:54:54.603807,86e156bb,f47cf8b4
c2915f12,2022-01-12 15:54:54.603807,2022-01-12 15:54:54.603807,b8d597fe,f9e77e3f
66086e53,2022-01-12 15:54:54.603807,2022-01-12 15:54:54.603807,4e4676d3,a1134aa3
224d516f,2022-01-12 15:54:54.603807,2022-01-13 15:54:54.603807,674311d8,ce730768
80ac945a,2022-01-12 15:54:54.603807,2022-01-12 15:54:54.603807,a23466c3,93cf33f8
5b01b6d3,2022-01-12 15:54:54.604848,2022-01-14 15:54:54.604848,ccad5df3,b1bf5716
e75ca24e,2022-01-12 15:54:54.605813,2022-01-13 15:54:54.605813,9659f59f,add2aa94
45496277,2022-01-12 15:54:54.605813,2022-01-14 15:54:54.605813,fc5cc2cd,13295ac4
7d939c27,2022-01-12 15:54:54.605813,2022-01-13 15:54:54.605813,d21cf9e5,b25a5c60
2ee6920c,2022-01-12 15:54:54.605813,2022-01-12 15:54:54.605813,b906611d,95c479b8
35793f08,2022-01-12 15:54:54.605813,2022-01-12 15:54:54.605813,95fdad6d,4099f20f
88833e7b,2022-01-12 15:54:54.606849,2022-01-12 15:54:54.606849,a4a1be3e,758499b9
