clm_id,amount,fraud,inc_id
add76e45,8329.62,False,86b86ee7
5f661b92,9264.74,False,86b86ee7
7be0d994,2331.25,False,b7348184
d06fe810,3112.59,False,73eaa568
7f6230e6,428.07,False,73eaa568
d587aa2c,2848.81,False,73eaa568
3abe9c3e,8667.41,False,533b3975
85c4c5d1,7598.88,False,533b3975
9693c67d,4271.13,False,533b3975
147553b0,7782.13,False,533b3975
1deae165,4267.53,False,533b3975
f0f2f523,9280.15,False,8d70e244
ed9a64bd,1445.91,False,84973c7b
e4371dc8,4452.46,False,84973c7b
44f68b67,7340.86,False,84973c7b
3a1670fc,5029.61,False,84973c7b
a7f62951,4344.92,False,6e077d22
01a45c44,7960.57,False,6e077d22
407fb908,6465.05,False,e6c67de6
48e24360,179.22,False,e6c67de6
2da33f9f,5054.0,False,e6c67de6
8bca9f09,168.74,False,e6c67de6
ec2be100,4510.08,False,c50240cc
d78a9562,7984.12,False,c50240cc
904d83d4,7727.92,True,c50240cc
c0953d3e,484.52,False,c50240cc
7068a5bf,9420.96,False,c50240cc
e4005de8,983.19,False,f106b14a
d6d979a4,1647.38,False,f106b14a
047c2dcf,5322.72,False,f106b14a
714e7310,222.9,False,f106b14a
17539dd5,9539.51,False,f106b14a
dfd93948,2859.11,False,0d4f58d7
994efcff,3996.64,False,0d4f58d7
7452bcd1,5349.23,False,0d4f58d7
aa12d511,9076.59,False,97fae2ad
919de62a,7515.96,False,97fae2ad
27ca32ef,4568.56,False,97fae2ad
7a0e31ce,5399.19,False,900e283a
d4ef3d8c,8314.1,False,900e283a
c187e7f8,4027.54,False,900e283a
59b148bb,827.26,False,c937a05e
79c6f73a,8953.62,False,4657931b
f2824e42,5683.2,False,4657931b
a30ef083,3862.74,False,f03810e5
8b1560dd,8214.33,False,f03810e5
1ba8fcc6,8265.14,False,03d12f0a
fbf13ed6,6411.95,False,03d12f0a
2fd2aab4,9950.51,False,03d12f0a
926a88f1,5990.75,False,03d12f0a
7889ee6e,6473.54,False,707b2a8a
9eb32cfa,226.72,False,707b2a8a
1bb405d5,9505.78,False,707b2a8a
8429794d,6033.52,False,df1a1705
d5092eea,7712.37,False,df1a1705
3fe4ef95,4405.51,False,df1a1705
c17fe79b,4195.1,False,df1a1705
3214da78,9060.3,False,df1a1705
b1ce626c,7292.64,False,9dea99a9
4a6f40a7,1831.51,False,51240c6e
76ec3608,4144.38,False,51240c6e
9d4b33cf,5624.01,False,51240c6e
8e2df0f9,4190.07,False,51240c6e
97a5043c,5434.87,False,c0b6e73e
c3f3a488,3123.0,False,c0b6e73e
05c1df2d,3984.19,False,c0b6e73e
a0fdcb4a,3724.41,False,b2c2e3de
5bc9e7af,6047.89,False,b2c2e3de
8db4c04e,7971.94,False,b2c2e3de
ebb96c41,7687.32,False,b2c2e3de
08de1815,2835.84,False,b2c2e3de
1bd3b682,6743.11,False,1f1b4891
7b718286,6911.1,False,1f1b4891
964de31f,4497.48,False,99d6dc0f
ae9f4b7c,2786.3,False,99d6dc0f
2fca1b0b,3017.38,False,0a02dd55
26cf4a91,2056.03,False,0a02dd55
45a5fad9,3873.39,False,0a02dd55
44873e79,1509.9,False,0a02dd55
a352883b,6678.7,False,9d8a1b32
522c6751,3587.04,False,9d8a1b32
bd53ca66,358.62,False,9d8a1b32
e8eb42d0,6911.51,False,a20239b0
68c6f9dc,6762.24,False,a20239b0
79269021,6059.62,False,a20239b0
8d0e9f53,526.04,False,a20239b0
a0e6cb55,111.76,False,a20239b0
8d2e05d8,6804.73,False,83131ce4
b04e7bd8,3861.07,False,6f697d66
0b85f116,1500.83,True,6f697d66
a6994ee7,1125.79,False,99300c05
51f1edf1,4051.9,False,99300c05
d7f0b9db,7701.18,False,99300c05
a4991b59,9807.23,False,99300c05
66ea1f61,6910.63,False,03e484c3
c9c88f5e,3898.41,False,03e484c3
fec93eed,4002.99,False,03e484c3
19aa62fa,7749.83,False,03e484c3
6ade81e5,2456.3,False,03e484c3
5f7683d3,5266.39,False,75fea70a
56f5d10e,2605.11,False,75fea70a
f029cb45,5620.99,False,75fea70a
187a2569,6608.61,False,74e865bd
d61d9294,3026.76,False,74e865bd
e14c84c2,6855.97,False,74e865bd
ff808a0a,9113.14,False,74e865bd
1632c23f,6365.61,False,74e865bd
ae462e3f,1528.58,False,4e622d98
7d30fbb2,5060.78,False,4e622d98
15b616eb,8181.94,False,4e622d98
d1b4a534,8804.15,False,4e622d98
fe29b9c0,9897.62,False,033563e8
b2b7a93e,8636.59,False,cbabb758
3ee08172,8552.43,False,a59ba2a6
a57ed0df,8657.43,False,c49aaf15
42efad5c,6860.43,False,47671761
